year,month,address_gu,sub_address,prev_year_구급,prev_year_구조,prev_year_기타,prev_year_화재,prev_year_교통사고,prev_year_구급기타
2020,5,강서구,강동동,0.5227272727272727,0.20833333333333331,0.2159090909090909,0.0,0.5227272727272727,0.0
2020,5,강서구,구랑동,0.5,0.5,0.0,0.0,1.0,0.0
2020,5,강서구,녹산동,0.7083333333333333,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0
2020,5,강서구,눌차동,0.75,0.0,0.25,0.0,0.0,0.5
2020,5,강서구,대저1동,0.5857142857142856,0.37857142857142856,0.09821428571428571,0.0,0.5357142857142857,0.0
2020,5,강서구,대저2동,0.8516483516483516,0.14835164835164835,0.0,0.0,0.6263736263736264,0.0
2020,5,강서구,대항동,1.0,0.0,0.0,0.0,0.0,0.0
2020,5,강서구,동선동,0.5,0.0,0.5,0.0,0.0,0.0
2020,5,강서구,명지동,0.8867033831628639,0.11329661683713611,0.0,0.0,0.45967741935483875,0.03525980911983033
2020,5,강서구,미음동,0.5,0.41666666666666663,0.08333333333333333,0.0,0.5833333333333333,0.0
2020,5,강서구,범방동,0.7333333333333334,0.26666666666666666,0.0,0.0,0.6333333333333333,0.0
2020,5,강서구,봉림동,0.375,0.625,0.0,0.0,0.875,0.0
2020,5,강서구,생곡동,0.8,0.2,0.0,0.0,0.5,0.0
2020,5,강서구,성북동,0.9285714285714286,0.0,0.0,0.0,0.5357142857142857,0.0
2020,5,강서구,송정동,0.6515151515151515,0.13257575757575757,0.23863636363636365,0.0,0.36363636363636365,0.0
2020,5,강서구,식만동,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8333333333333333,0.0
2020,5,강서구,신호동,0.5727272727272728,0.06666666666666667,0.32727272727272727,0.0,0.4,0.03333333333333333
2020,5,강서구,죽동동,0.5,0.5,0.0,0.0,0.875,0.0
2020,5,강서구,죽림동,1.0,0.0,0.0,0.0,0.0,0.0
2020,5,강서구,지사동,0.4888888888888889,0.06458333333333333,0.325,0.0,0.15833333333333333,0.0
2020,5,강서구,천성동,0.5833333333333333,0.41666666666666663,0.0,0.0,0.5,0.0
2020,5,강서구,화전동,1.0,0.0,0.0,0.0,0.0,0.0
2020,5,금정구,구서동,0.7669683257918551,0.08912655971479501,0.12549019607843137,0.0,0.37344028520499106,0.08912655971479501
2020,5,금정구,금사동,0.6666666666666667,0.08333333333333333,0.0,0.0,0.6666666666666667,0.0
2020,5,금정구,금성동,0.3492063492063492,0.325,0.38095238095238093,0.0,0.0,0.0
2020,5,금정구,남산동,0.7261029411764706,0.06696428571428571,0.21323529411764708,0.0,0.16596638655462184,0.03571428571428571
2020,5,금정구,노포동,0.9375,0.0625,0.0,0.0,0.4375,0.0
2020,5,금정구,두구동,0.875,0.0625,0.0,0.0,0.3125,0.0
2020,5,금정구,부곡동,0.7889305816135084,0.03721075672295185,0.1616635397123202,0.0,0.29851537645811244,0.022727272727272728
2020,5,금정구,서동,0.9722222222222222,0.027777777777777776,0.0,0.0,0.2403846153846154,0.03125
2020,5,금정구,선동,0.8,0.2,0.0,0.0,0.16666666666666666,0.0
2020,5,금정구,오륜동,0.5,0.5,0.0,0.0,0.6666666666666666,0.0
2020,5,금정구,장전동,0.8918128654970761,0.04483430799220273,0.06335282651072124,0.0,0.34518518518518515,0.02
2020,5,금정구,청룡동,0.5892857142857143,0.4107142857142857,0.0,0.0,0.07142857142857142,0.0
2020,5,금정구,회동동,0.4318181818181818,0.0,0.4772727272727273,0.0,0.18181818181818182,0.08333333333333333
2020,5,기장군,기장읍,0.7843276515151515,0.14867424242424243,0.06178977272727273,0.0,0.4296875,0.03787878787878788
2020,5,기장군,일광읍,0.7012499999999999,0.22146739130434784,0.051250000000000004,0.02,0.41625,0.0
2020,5,기장군,장안읍,0.4891304347826087,0.3027950310559006,0.12406015037593984,0.0,0.47308488612836436,0.047619047619047616
2020,5,기장군,정관읍,0.6729323308270676,0.07095864661654136,0.21142183288409705,0.01985062893081761,0.3348214285714286,0.05952380952380952
2020,5,기장군,철마면,0.5227272727272727,0.4147727272727273,0.0,0.0,0.6234817813765182,0.0
